longName,avg_playerankIndex,scouting_period
Jeffrey Gouweleeuw,0.1759041847414286,2017-2018
Diego Demme,0.1741253354530654,2017-2018
Lukas Rupp,0.18061927550298362,2017-2018
Daryl Janmaat,0.17713229639076192,2017-2018
Philipp Tschauner,0.15777498416009558,2017-2018
Max Kruse,0.18625666461277607,2017-2018
Fin Bartels,0.18769227489360765,2017-2018
Simon Terodde,0.18209500705064613,2017-2018
Kevin Kampl,0.17716763209220548,2017-2018
Elias Kachunga,0.1791841297932031,2017-2018
Danny Latza,0.17467810291384786,2017-2018
Caiuby Francisco da Silva,0.18824128521497924,2017-2018
Collin Quaner,0.18256658994405048,2017-2018
Leon-Aderemi Balogun,0.18168919545678927,2017-2018
Dominik Kohr,0.17545280923818654,2017-2018
Kenan Karaman,0.17188062314509026,2017-2018
Thomas Strakosha,0.17027876550057702,2017-2018
Sabin Merino Zuloaga,0.1736734699357786,2017-2018
Héctor Bellerín Moruno,0.1765989781419121,2017-2018
Stanislav Lobotka,0.17870796123904373,2017-2018
Rani Khedira,0.17704665319948407,2017-2018
Dominique Heintz,0.18049742344339234,2017-2018
Julian Korb,0.16636072380377784,2017-2018
Diego Rico Salguero,0.15810684385314908,2017-2018
Kenny Tete,0.17666759698563328,2017-2018
Calum Chambers,0.18195644991919702,2017-2018
Jérôme Gondorf,0.1684595766870404,2017-2018
Viktor Fischer,0.17302019316088063,2017-2018
Riechedly Bazoer,0.1718629580710317,2017-2018
Rajiv van La Parra,0.17603472313942875,2017-2018
Niklas Stark,0.18682824008134566,2017-2018
Timo Werner,0.20106291108664226,2017-2018
Filip Đuričić,0.1851726806027435,2017-2018
Oussama Tannane,0.17861858656958915,2017-2018
Luciano Narsingh,0.17487399727571148,2017-2018
Emre Can,0.18971333820098019,2017-2018
Marcel Halstenberg,0.17784757363662707,2017-2018
Jonas Hofmann,0.17445804909974952,2017-2018
Jonas Hector,0.1682282928940735,2017-2018
Lukas Kübler,0.17232788138102603,2017-2018
Christian Mathenia,0.12101737870120888,2017-2018
Nico Schulz,0.17191305809654783,2017-2018
Marvin Zeegelaar,0.16887487906515775,2017-2018
Leonardo Spinazzola,0.1678992030123875,2017-2018
Jagoš Vuković,0.19033443637344302,2017-2018
Matty James,0.17427865111312268,2017-2018
Maximilian Philipp,0.200239697301258,2017-2018
Alexander Schwolow,0.14240591960254395,2017-2018
Manuel Gulde,0.1854821837554914,2017-2018
Issiaga Sylla,0.17853170046296565,2017-2018
Ignazio Abate,0.16759189968882682,2017-2018
Daniele Bonera,0.17543433827237467,2017-2018
Thiago Emiliano da Silva,0.1869331096406879,2017-2018
Mattia De Sciglio,0.174744884270596,2017-2018
Alberto Aquilani,0.17140976685813986,2017-2018
Kevin-Prince Boateng,0.1833949977793344,2017-2018
Simone Calvano,0.1702300705090814,2017-2018
Bryan Cristante,0.18830083001431905,2017-2018
Mattia Valoti,0.1777486362182098,2017-2018
Stephan El Shaarawy,0.19480837337137125,2017-2018
Maximiliano Gastón López,0.17813401041241234,2017-2018
Nicolás Andrés Burdisso,0.17933263827958326,2017-2018
Simon Thorup Kjær,0.18354100065871032,2017-2018
Aleandro Rosi,0.1666468444702034,2017-2018
José Ángel Valdés Díaz,0.15932951761033998,2017-2018
Daniele De Rossi,0.17070553856147067,2017-2018
Erik Lamela,0.17528132802748844,2017-2018
Miralem Pjanić,0.17901968634218016,2017-2018
Valerio Verre,0.17167939393541276,2017-2018
Federico Viviani,0.16476972267481885,2017-2018
Fabio Borini,0.18270443299680889,2017-2018
Bojan Krkíc Pérez,0.17459213113993885,2017-2018
Gianluigi Buffon,0.2731241587316282,2017-2018
Andrea Barzagli,0.17983560280246802,2017-2018
Leonardo Bonucci,0.17784145437666674,2017-2018
José Martín Cáceres Silva,0.17836250461336356,2017-2018
Giorgio Chiellini,0.18547845875381375,2017-2018
Stephan Lichtsteiner,0.16874604582595945,2017-2018
Emanuele Giaccherini,0.17312362997231195,2017-2018
Claudio Marchisio,0.18044760750668642,2017-2018
Simone Padoin,0.16663843906698003,2017-2018
Arturo Erasmo Vidal Pardo,0.20004623906185925,2017-2018
Marco Borriello,0.1714855156743245,2017-2018
Alessandro Matri,0.17658258160125703,2017-2018
Fabio Quagliarella,0.20127967625585877,2017-2018
Antonio Mirante,0.1690561124198342,2017-2018
Massimo Gobbi,0.16613965178348447,2017-2018
Sergio Floccari,0.18032745562225996,2017-2018
Stefano Okaka Chuka,0.17645232320853993,2017-2018
Marco Davide Faraoni,0.17185387459011908,2017-2018
Yuto Nagatomo,0.17003143779683252,2017-2018
Juan Guilherme Nunes Jesus,0.17381171857497443,2017-2018
Andrea Ranocchia,0.18842122215618717,2017-2018
Ricardo Gabriel Álvarez,0.16807654216689563,2017-2018
Joel Chukwuma Obi,0.18260313327207078,2017-2018
Andrea Poli,0.17464519108599819,2017-2018
Giampaolo Pazzini,0.17582964615342175,2017-2018
Albano Benjamín Bizzarri,0.14141343847646504,2017-2018
Ştefan Daniel Radu,0.18016321846419095,2017-2018
Antonio Candreva,0.18355886594086593,2017-2018
Senad Lulić,0.1772176999417799,2017-2018
Samir Handanovič,0.24270674543856935,2017-2018
Dušan Basta,0.16764610708777766,2017-2018
Medhi Amine El Mouttaqi Benatia,0.18803050811512,2017-2018
Danilo Larangeira,0.18267755306990338,2017-2018
Kwadwo Asamoah,0.17202272777489372,2017-2018
Gélson da Conceição Tavares Fernandes,0.17019531336250587,2017-2018
Roberto Maximiliano Pereyra,0.17769587846119292,2017-2018
Andrea Costa,0.1746433870427876,2017-2018
Shkodran Mustafi,0.1865105640757506,2017-2018
Pedro Mba Obiang Avomo,0.17407440983105552,2017-2018
Roberto Soriano,0.1742809170064711,2017-2018
Eder Citadin Martins,0.17967666305601318,2017-2018
Mauro Emanuel Icardi Rivero,0.21130120265963426,2017-2018
Davide Biraschi,0.17522342373400565,2017-2018
Christian Puggioni,0.11601752050664844,2017-2018
Stefano Sorrentino,0.1634479438886466,2017-2018
Francesco Acerbi,0.18453447723744681,2017-2018
Marco Andreolli,0.17902747421888973,2017-2018
Boštjan Cesar,0.1748250568711909,2017-2018
Dario Dainelli,0.17915570463805844,2017-2018
Perparim Hetemaj,0.1744753900703474,2017-2018
Luca Rigoni,0.18388434531165265,2017-2018
Alberto Paloschi,0.17608256024734964,2017-2018
Sergio Pellissier,0.17292641736286754,2017-2018
Cyril Théréau,0.19527418084216022,2017-2018
Andrea Raggi,0.17459939429992632,2017-2018
Frederik Hillesborg Sørensen,0.18070633364742264,2017-2018
Rene Krhin,0.17671130155106438,2017-2018
Gastón Exequiel Ramírez Pereyra,0.1811423920530225,2017-2018
Ishak Belfodil,0.1893302296744075,2017-2018
Carlos Joaquín Correa,0.18216637347625148,2017-2018
Sebastien De Maio,0.18074059845898144,2017-2018
Fábio Henrique Tavares,0.19083586194824048,2017-2018
Papa Alioune N'Diaye,0.18685822814177933,2017-2018
Bartosz Salamon,0.17800428902112225,2017-2018
Jonathas Cristian de Jesus,0.1964569126537349,2017-2018
Nenad Tomović,0.17677189250137826,2017-2018
Andrea Bertolacci,0.1680943079331441,2017-2018
Juan Guillermo Cuadrado Bello,0.18961536035732346,2017-2018
Luis Fernando Muriel Fruto,0.18783148927885776,2017-2018
Luca Rossettini,0.18137643187926952,2017-2018
Mattia Destro,0.18853188158338383,2017-2018
Emiliano Viviano,0.16242543087101893,2017-2018
Matías Aguirregaray Guruceaga,0.16599828460195443,2017-2018
Ezequiel Muñoz,0.18526402969740088,2017-2018
Iver Fossum,0.17322446491423527,2017-2018
Matías Agustín Silvestre,0.18316719180948607,2017-2018
Afriyie Acquah,0.17435042181676758,2017-2018
Andrea Barberis,0.16331942866538013,2017-2018
Édgar Osvaldo Barreto Cáceres,0.16984854417382292,2017-2018
Josip Iličić,0.20036509834588886,2017-2018
Franco Damián Vázquez,0.18889696230243486,2017-2018
Andrea Consigli,0.1505573959006266,2017-2018
Andrea Masiello,0.184796103017233,2017-2018
Federico Peluso,0.17055410231675194,2017-2018
Giacomo Bonaventura,0.1935146238105122,2017-2018
Luca Cigarini,0.15800389465708448,2017-2018
Matias Ezequiel Schelotto,0.17186634643968624,2017-2018
Manolo Gabbiadini,0.18104748958270822,2017-2018
Valentino Lazaro,0.1743253762055083,2017-2018
Davide Astori,0.18604836158379123,2017-2018
Nicola Murru,0.166731540235056,2017-2018
Rodrigo Ely,0.18613312977674087,2017-2018
Matteo Politano,0.1883534024250186,2017-2018
Alessandro Schöpf,0.16687094555751703,2017-2018
Andrea Cossu,0.16370277424266816,2017-2018
Daniele Dessena,0.16695872191530017,2017-2018
Albin Ekdal,0.17843503470691874,2017-2018
Radja Nainggolan,0.19257358726316115,2017-2018
Bartolomeu Jacinto Quissanga,0.1841232245741357,2017-2018
Kévin Manuel Rodrigues,0.1731599502304303,2017-2018
Adrien Thomasson,0.18006388065253576,2017-2018
Morgan Sanson,0.18667304460435724,2017-2018
Corentin Tolisso,0.1934499648684256,2017-2018
Pasquale Schiattarella,0.1715959090788509,2017-2018
Adrien Rabiot,0.18930173367909517,2017-2018
Flavien Tait,0.1837402450049792,2017-2018
Michaël Jordan Nkololo,0.17014990094165175,2017-2018
Norberto Murara Neto,0.22823677507834278,2017-2018
Lorenzo De Silvestri,0.18069464996874718,2017-2018
Felipe Dias da Silva dal Belo,0.18170228077487485,2017-2018
Alessandro Gamberini,0.179642653207881,2017-2018
Matija Nastasić,0.18014996873158787,2017-2018
Rômulo Souza Orestes Caldeira,0.1701332372582131,2017-2018
Valon Behrami,0.17387827261660943,2017-2018
Domenico Berardi,0.17435455261315777,2017-2018
Adem Ljajić,0.17754299859853606,2017-2018
Riccardo Montolivo,0.17180406799713127,2017-2018
Alessio Cerci,0.1782982166906944,2017-2018
Stevan Jovetić,0.19408864917698396,2017-2018
Ryder Matos Santos,0.1784628888482248,2017-2018
Elseid Gëzim Hysaj,0.17047727522371037,2017-2018
Vasco Regini,0.17414234872985307,2017-2018
Eric Dier,0.18152754023448855,2017-2018
Mirko Valdifiori,0.16855632985230123,2017-2018
Riccardo Saponara,0.18830545858437825,2017-2018
Nicolás Federico Spolli,0.17941126058073995,2017-2018
Alejandro Darío Gómez,0.19188893572340388,2017-2018
Danilo D'Ambrosio,0.17462912726763918,2017-2018
Kamil Glik,0.18913253857344892,2017-2018
Alfred Benjamin Gomis,0.15501275669401235,2017-2018
Angelo Obinze Ogbonna,0.18102670098020476,2017-2018
Mirco Antenucci,0.19102690190622307,2017-2018
Riccardo Meggiorini,0.16817624270692433,2017-2018
Simone Verdi,0.1711332800177001,2017-2018
Nicola Rigoni,0.17167882823061031,2017-2018
Miguel Ángel Britos Cabrera,0.1727250749407303,2017-2018
Paolo Cannavaro,0.1795625748383394,2017-2018
Federico Fernández,0.18302855982502195,2017-2018
Blerim Džemaili,0.18199628811459023,2017-2018
Marek Hamšík,0.1896037775247312,2017-2018
Christian Maggio,0.1719978013396483,2017-2018
Edinson Roberto Cavani Gómez,0.2234706254245253,2017-2018
Goran Pandev,0.18347475462659396,2017-2018
Rúben Miguel Nunes Vezo,0.17177014688521558,2017-2018
André Filipe Tavares Gomes,0.17156491106227728,2017-2018
Andrea Belotti,0.19686754568261075,2017-2018
Tin Jedvaj,0.1747356209476688,2017-2018
Gonzalo Escalante,0.17695189408343115,2017-2018
Emiliano Moretti,0.17755332765567533,2017-2018
Mario Sampirisi,0.1703651190970907,2017-2018
Miguel Luís Pinto Veloso,0.1613695321292363,2017-2018
Stefano Sturaro,0.17146374841252032,2017-2018
Valter Birsa,0.16151738503174495,2017-2018
Rodrigo Sebastián Palacio,0.18031960995259744,2017-2018
Nicolas David Andrade,0.12689687712863418,2017-2018
Rafael de Andrade Bittencourt Pinheiro,0.19288860976984873,2017-2018
José Manuel Rodríguez Benito,0.1793668990656929,2017-2018
Emil Hallfreðsson,0.1693821533461059,2017-2018
Jorge Luiz Frello Filho,0.17314333337835483,2017-2018
Marco D'Alessandro,0.18456621883569463,2017-2018
Júnior Osmar Ignacio Alonso Mujica,0.1810805308589153,2017-2018
Marco Parolo,0.18297265034559482,2017-2018
Marco Capuano,0.17603262625929683,2017-2018
Gianluca Caprari,0.1821964862895551,2017-2018
Marco Verratti,0.18126070272888792,2017-2018
Ciro Immobile,0.22260403805364012,2017-2018
Lorenzo Insigne,0.21477003005438203,2017-2018
Rodrigo Javier de Paul,0.17615016624642327,2017-2018
Alejandro Granell Nogué,0.14894989562318864,2017-2018
Alberto Brignoli,0.07764208551317692,2017-2018
Alisson Ramsés Becker,0.25436238290030766,2017-2018
Roberto Inglese,0.19107469610242683,2017-2018
