Player,League,Season
Joshua Zirkzee,Bundesliga,2019-2020
Álvaro Odriozola,Bundesliga,2019-2020
Sven Ulreich,Bundesliga,2019-2020
Sarpreet Singh,Bundesliga,2019-2020
Kwasi Okyere Wriedt,Bundesliga,2019-2020
Oliver Batista-Meier,Bundesliga,2019-2020
Leon Dajaku,Bundesliga,2019-2020
Chris Richards,Bundesliga,2019-2020
Renato Sanches,Bundesliga,2019-2020
Jamal Musiala,Bundesliga,2019-2020
Manuel Neuer,Bundesliga,2020-2021
Thomas Müller,Bundesliga,2020-2021
David Alaba,Bundesliga,2020-2021
Jérôme Boateng,Bundesliga,2020-2021
Robert Lewandowski,Bundesliga,2020-2021
Joshua Kimmich,Bundesliga,2020-2021
Kingsley Coman,Bundesliga,2020-2021
Benjamin Pavard,Bundesliga,2020-2021
Alphonso Davies,Bundesliga,2020-2021
Serge Gnabry,Bundesliga,2020-2021
Leroy Sané,Bundesliga,2020-2021
Leon Goretzka,Bundesliga,2020-2021
Lucas Hernández,Bundesliga,2020-2021
Niklas Süle,Bundesliga,2020-2021
Eric Maxim Choupo-Moting,Bundesliga,2020-2021
Jamal Musiala,Bundesliga,2020-2021
Corentin Tolisso,Bundesliga,2020-2021
Bouna Sarr,Bundesliga,2020-2021
Javi Martínez,Bundesliga,2020-2021
Douglas Costa,Bundesliga,2020-2021
Marc Roca,Bundesliga,2020-2021
Joshua Zirkzee,Bundesliga,2020-2021
Alexander Nübel,Bundesliga,2020-2021
Josip Stanišić,Bundesliga,2020-2021
Chris Richards,Bundesliga,2020-2021
Tiago Dantas,Bundesliga,2020-2021
Nianzou Kouassi,Bundesliga,2020-2021
Christopher Scott,Bundesliga,2020-2021
Mickaël Cuisance,Bundesliga,2020-2021
