longName,ratings_mean,season
Davide Di Gennaro,0.0047858404103226,2017-2018
Davide Frattesi,0.0047902073714768,2017-2018
Davide Santon,0.0047969404604802,2017-2018
Davide Zappacosta,0.0124246402869091,2017-2018
Davie Selke,0.1009147729266087,2017-2018
Davinson Sánchez Mina,0.005130639720786,2017-2018
Davy Pröpper,0.0042284326029662,2017-2018
Dawid Kownacki,0.0173041844903243,2017-2018
Dayotchanculle Upamecano,0.0246213237733778,2017-2018
DeAndre Yedlin,0.0045645288913552,2017-2018
Dean Marney,0.0047902073714768,2017-2018
Declan Rice,0.0048083614247563,2017-2018
Dejan Lovren,0.0187655564583287,2017-2018
Demarai Gray,0.0051410128729902,2017-2018
Denis Cheryshev,0.0666521371711757,2017-2018
Denis Lemi Zakaria Lako Lado,0.0234473674976171,2017-2018
Denis Suárez Fernández,0.0047709394644473,2017-2018
Dennis Aogo,0.0052192665316473,2017-2018
Dennis Diekmeier,0.004240381221501,2017-2018
Dennis Geiger,0.0252565093978855,2017-2018
Dennis Praet,0.0042694408466081,2017-2018
Diafra Sakho,0.0259159238809161,2017-2018
Diego Alejandro Rolán Silva,0.0771544316692641,2017-2018
Diego Carlos Santos Silva,0.0214440723303926,2017-2018
Diego Demme,0.0045663743466268,2017-2018
Diego Falcinelli,0.0151734975456125,2017-2018
Diego González Polanco,0.0047902073714768,2017-2018
Diego Javier Llorente Ríos,0.0178198272751844,2017-2018
Diego Perotti,0.0702204063419536,2017-2018
Diego Rico Salguero,0.0241223151338814,2017-2018
Diego Roberto Godín Leal,0.0053242024423813,2017-2018
Diego Sebastián Laxalt Suárez,0.0251201495977715,2017-2018
Diego da Silva Costa,0.0706491130305238,2017-2018
Diego da Silva Farias,0.0189091567612487,2017-2018
Digbo G'nampa Habib Maïga,0.0223150256550799,2017-2018
Dimitri  Payet,0.0664976628946752,2017-2018
Dimitri Foulquier,0.0037648510701303,2017-2018
Dimitri Liénard,0.0497857970499897,2017-2018
Dimitrios Siovas,0.0160574635201397,2017-2018
Divock Okoth Origi,0.0406769398086582,2017-2018
Djené Dakonam Ortega,0.0119901893181978,2017-2018
Djibril Sidibé,0.0277041603779928,2017-2018
Domenico Berardi,0.037984973884024,2017-2018
Domenico Maietta,0.0047854028029895,2017-2018
Dominic Calvert-Lewin,0.0697028439175732,2017-2018
Dominic Solanke,0.0168050256408432,2017-2018
Dominik Kaiser,0.0047634841712212,2017-2018
Dominik Kohr,0.0146697190776715,2017-2018
Dominik Maroh,0.0047902073714768,2017-2018
Dominique Heintz,0.0127591126616519,2017-2018
Douglas  Costa de Souza,0.0631833818727653,2017-2018
Douglas Luiz Soares de Paulo,0.0047796411783589,2017-2018
Douglas dos Santos Justino de Melo,0.0152994576885795,2017-2018
Dries Mertens,0.1108032495768913,2017-2018
Duván Esteban Zapata Banguera,0.0911314003792519,2017-2018
Dušan Basta,0.0047162102028956,2017-2018
Dušan Tadić,0.0395921377994661,2017-2018
Dwight Gayle,0.0677690526734545,2017-2018
Dylan Bahamboula,0.0047773171827956,2017-2018
Dzenis Burnic,0.0045937190176968,2017-2018
Dídac Vilá Rosselló,0.0047579019594158,2017-2018
Ebenezer Ofori,0.0047902073714768,2017-2018
Eddie Nketiah,0.0047650157178137,2017-2018
Eden Hazard,0.101421956600443,2017-2018
Eder Citadin Martins,0.0429852781557572,2017-2018
Edgar Miguel Ié,0.0124588717621083,2017-2018
Edin Džeko,0.1003071511360125,2017-2018
Edinaldo Gomes Pereira,0.0047902073714768,2017-2018
Edinson Roberto Cavani Gómez,0.2352094407304875,2017-2018
Edoardo Goldaniga,0.023587504476108,2017-2018
Edson André Sitoe,0.0048572468481727,2017-2018
El-Hadji Baye Oumar Niasse,0.0941910106870567,2017-2018
Eliaquim Mangala,0.0047886127002937,2017-2018
Elio Capradossi,0.0047902073714768,2017-2018
Ellyes Skhiri,0.022706617961465,2017-2018
Elseid Gëzim Hysaj,0.0046114885319768,2017-2018
Emanuele Giaccherini,0.0047693668087879,2017-2018
Emerson Palmieri dos Santos,0.0047793207923505,2017-2018
Emil Forsberg,0.0057352264275029,2017-2018
Emil Hallfreðsson,0.0046749053790353,2017-2018
Emil Krafth,0.0047293621379001,2017-2018
Emiliano Adrián Insúa Zapata,0.0043127300408029,2017-2018
Emiliano Moretti,0.0048818431875752,2017-2018
Emiliano Sala,0.0881690668045358,2017-2018
Emmanuel Bourgaud,0.0047669111113688,2017-2018
Emmanuel Okyere Boateng,0.0454833244573071,2017-2018
Emmanuel Rivière,0.0579343234188145,2017-2018
Emre Can,0.0171901178470321,2017-2018
Emre Mor,0.0048102457097847,2017-2018
Emre Çolak,0.0121615150586851,2017-2018
Eneko Bóveda Altube,0.0047902073714768,2017-2018
Enes Ünal,0.0638451049582654,2017-2018
Enis Bardhi,0.0338583937096192,2017-2018
Enric Saborit Teixidor,0.00449851119523,2017-2018
Enrico Bearzotti,0.0047902073714768,2017-2018
Enrique García Martínez,0.0696843607458502,2017-2018
Enzo Crivelli,0.0420133027746442,2017-2018
Eric  Dier,0.0120238817545057,2017-2018
Eric Bertrand  Bailly,0.0277214879764309,2017-2018
Erick Antonio Pulgar Farfán,0.0250276252365864,2017-2018
Erick Cathriel Cabaco Almada,0.0044378203599238,2017-2018
Erik Pieters,0.0044324287942939,2017-2018
Ernest Seka,0.0048317514186645,2017-2018
Eros Schiavon,0.004755995995732,2017-2018
Ervin Zukanović,0.0049104402888102,2017-2018
Esteban Félix Granero Molina,0.0048462332808639,2017-2018
Esteban Rolón,0.0047355009093889,2017-2018
Etienne Capoue,0.0147869171536692,2017-2018
Eugen Polanski,0.0046586372085103,2017-2018
Everton Luiz Guimaraes Bilher,0.0043665656268264,2017-2018
Ezequiel Marcelo Garay,0.0049615738804372,2017-2018
Ezequiel Muñoz,0.0052918830547675,2017-2018
Ezequiel Ponce Martínez,0.0147848312014154,2017-2018
Fabian Delph,0.0168742873569822,2017-2018
Fabian Frei,0.0176665470346709,2017-2018
Fabian Lukas Schär,0.0358904358457187,2017-2018
Fabian Lustenberger,0.0048246100403243,2017-2018
Fabio Borini,0.0047234200111054,2017-2018
Fabio Depaoli,0.0047243657108657,2017-2018
Fabio Pisacane,0.004369861688458,2017-2018
Fabio Quagliarella,0.1280437481107748,2017-2018
Fabián Ruiz Peña,0.0231064315093674,2017-2018
Fabrizio Cacciatore,0.0227544810362847,2017-2018
Fabrizio Caligara,0.0047935949739341,2017-2018
Facundo Julián Píriz González,0.0046699213057683,2017-2018
Facundo Sebastián Roncaglia,0.004861887507901,2017-2018
Fallou Diagne,0.0194840637820572,2017-2018
Faouzi Ghoulam,0.0521771658356245,2017-2018
Farès Bahlouli,0.0255739880936172,2017-2018
Faustino Marcos Alberto Rojo,0.0153895355284134,2017-2018
Fayçal Fajr,0.0051683157994438,2017-2018
Federico Bernardeschi,0.0046894612396452,2017-2018
