longName,wyId
Luiz Gustavo Dias,14722
Toni Kroos,14723
David Olatukunbo Alaba,14724
Franck Bilal Ribéry,14726
Arjen Robben,14727
Bastian Schweinsteiger,14728
Anatoliy Tymoshchuk,14729
Takashi Usami,14730
Mario Gómez García,14731
Thomas Müller,14732
Nils Petersen,14734
Sven Ulreich,14736
William Vitved Kvist Jørgensen,14744
Cristian Molinaro,14745
Antonio Rüdiger,14748
Gotoku Sakai,14749
Christian Gentner,14754
Zdravko Kuzmanović,14757
Ibrahima Traoré,14758
Martin Harnik,14760
Vedad Ibišević,14762
Shinji Okazaki,14763
Julian Schieber,14764
René Adler,14766
Fabian Giefer,14767
Bernd Leno,14768
Gonzalo Castro Randon,14770
Vedran Ćorluka,14771
Danny  Vieira da Costa,14772
Michal Kadlec,14774
Bastian Oczipka,14775
Ömer Toprak,14778
Lars Bender,14781
Renato  Soares de Oliveira Augusto,14785
Karim Bellarabi,14786
Eren Derdiyok,14787
Stefan Kießling,14788
André Schürrle,14789
Mitchell Langerak,14793
Roman Weidenfeller,14794
Mats  Hummels,14795
Chris Löwe,14796
Łukasz Piszczek,14798
Marcel Schmelzer,14800
Neven Subotić,14801
Marvin Bakalorz,14802
Sven Bender,14803
Jakub Błaszczykowski,14804
Mario Götze,14806
İlkay Gündoğan,14808
Ivan Perišić,14812
Mario Vrančić,14813
Shinji Kagawa,14816
Robert Lewandowski,14817
Michael Esser,14821
Andreas Luthe,14822
Hólmar Örn Eyjólfsson,14826
Takashi Inui,14836
Christoph Kramer,14838
Kevin Vogt,14842
Daniel Ginczek,14845
Ralf Fährmann,14847
Sergio Escudero Palomo,14852
Christian Fuchs,14853
Benedikt Höwedes,14855
Kyriakos Papadopoulos,14857
Julian Draxler,14862
Marco Höger,14863
Lewis Harry Holtby,14864
José Manuel Jurado Marín,14866
Sead Kolašinac,14869
Joël Andre Job Matip,14870
Jefferson Agustin Farfán Guadalupe,14872
Teemu Eino Antero Pukki,14879
Jaroslav Drobný,14882
Tom Mickel,14883
Dennis Aogo,14885
Muhamed Bešić,14886
Jeffrey  Bruma,14887
Dennis Diekmeier,14888
Tolgay Arslan,14894
Gojko Kačar,14900
Tomás Eduardo Rincón Hernández,14903
Jacopo Sala,14904
Per Ciljan Skjelbred,14905
Marcus Berg,14908
José Paolo Guerrero González,14909
Heung-Min Son,14911
Diego Benaglio,14913
Marwin Hitz,14914
Robin Knoche,14917
Ricardo Iván Rodríguez Araya,14922
Marco Russ,14923
Makoto Hasebe,14929
Slobodan Medojević,14932
Maximilian Arnold,14938
Ashkan Dejagah,14939
